State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Uttar Pradesh,Kanpur,Choubepur,Wheat,Dara,FAQ,01/07/2024,2350,2450,2430,1
Uttar Pradesh,Kanpur,Choubepur,Wheat,Dara,FAQ,06/07/2024,2400,2500,2480,1
Uttar Pradesh,Kanpur,Choubepur,Wheat,Dara,FAQ,13/07/2024,2400,2500,2450,1
Uttar Pradesh,Kanpur,Choubepur,Wheat,Dara,FAQ,20/07/2024,2400,2500,2460,1
Uttar Pradesh,Kanpur,Choubepur,Wheat,Dara,FAQ,23/07/2024,2400,2500,2480,1
Uttar Pradesh,Kanpur,Choubepur,Wheat,Dara,FAQ,27/07/2024,2400,2500,2485,1
Uttar Pradesh,Kanpur,Choubepur,Wheat,Dara,FAQ,21/08/2024,2450,2550,2515,1
Uttar Pradesh,Kanpur,Choubepur,Wheat,Dara,FAQ,22/08/2024,2450,2550,2520,1
Uttar Pradesh,Kanpur,Choubepur,Wheat,Dara,FAQ,23/08/2024,2450,2550,2520,1
Uttar Pradesh,Kanpur,Choubepur,Wheat,Dara,FAQ,26/08/2024,2500,2600,2535,1
Uttar Pradesh,Kanpur,Choubepur,Wheat,Dara,FAQ,31/08/2024,2500,2580,2530,1
Uttar Pradesh,Kanpur,Choubepur,Wheat,Dara,FAQ,23/03/2020,1963,2015,2000,1
Uttar Pradesh,Kanpur,Choubepur,Wheat,Dara,FAQ,31/03/2020,1960,2050,2000,1
Uttar Pradesh,Kanpur,Choubepur,Wheat,Dara,FAQ,06/04/2020,2000,2100,2050,1
Uttar Pradesh,Kanpur,Choubepur,Wheat,Dara,FAQ,10/04/2020,1975,2075,2025,1
Uttar Pradesh,Kanpur,Choubepur,Wheat,Dara,FAQ,15/04/2020,1950,2050,2000,1
Uttar Pradesh,Kanpur,Choubepur,Wheat,Dara,FAQ,16/04/2020,1927,2025,1976,1
Uttar Pradesh,Kanpur,Choubepur,Wheat,Dara,FAQ,20/04/2020,1950,2050,2000,1
Uttar Pradesh,Kanpur,Choubepur,Wheat,Dara,FAQ,28/04/2020,1926,2025,1976,1
Uttar Pradesh,Kanpur,Choubepur,Wheat,Dara,FAQ,02/05/2020,1945,2060,2010,1
Uttar Pradesh,Kanpur,Choubepur,Wheat,Dara,FAQ,26/05/2020,1945,2050,2000,1
Uttar Pradesh,Kanpur,Choubepur,Wheat,Dara,FAQ,04/06/2020,1935,2045,1985,1
Uttar Pradesh,Kanpur,Choubepur,Wheat,Dara,FAQ,05/06/2020,1940,2050,2000,1
Uttar Pradesh,Kanpur,Choubepur,Wheat,Dara,FAQ,10/06/2020,1940,2050,2000,1
Uttar Pradesh,Kanpur,Choubepur,Wheat,Dara,FAQ,13/06/2020,1925,2025,1975,1
Uttar Pradesh,Kanpur,Choubepur,Wheat,Dara,FAQ,16/06/2020,1942,2050,2000,1
Uttar Pradesh,Kanpur,Choubepur,Wheat,Dara,FAQ,20/06/2020,1935,2045,1985,1
Uttar Pradesh,Kanpur,Choubepur,Wheat,Dara,FAQ,26/06/2020,1925,2035,1975,1
Uttar Pradesh,Kanpur,Choubepur,Wheat,Dara,FAQ,29/06/2020,1930,2040,1980,1
Uttar Pradesh,Kanpur,Choubepur,Wheat,Dara,FAQ,01/07/2020,1940,2050,2000,1
